Home for the Holidays,1995,PG-13,03 Nov 1995,103 min,"Comedy, Drama, Romance",Jodie Foster,"Chris Radant, W.D. Richter","Holly Hunter, Anne Bancroft, Robert Downey Jr.","After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjc4Y2M1YTktNmY2Zi00NWRkLThmMWEtNGNlODQ5YTYwMDhlXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
The Postman,1994,PG,22 Mar 1996,108 min,"Biography, Comedy, Drama","Michael Radford, Massimo Troisi","Antonio Skármeta, Furio Scarpelli, Giacomo Scarpelli","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","Italian, Spanish","Italy, France, Belgium",Won 1 Oscar. 31 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg
The Indian in the Cupboard,1995,PG,14 Jul 1995,96 min,"Drama, Family, Fantasy",Frank Oz,"Lynne Reid Banks, Melissa Mathison","Hal Scardino, Litefoot, Lindsay Crouse","Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Eye for an Eye,1996,R,12 Jan 1996,101 min,"Crime, Drama, Thriller",John Schlesinger,"Erika Holzer, Amanda Silver, Rick Jaffa","Sally Field, Kiefer Sutherland, Ed Harris","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","English, French, Spanish, Korean",United States,N/A,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Mr. Holland's Opus,1995,PG,19 Jan 1996,143 min,"Drama, Music",Stephen Herek,Patrick Sheane Duncan,"Richard Dreyfuss, Glenne Headly, Jay Thomas",A frustrated composer finds fulfillment as a high school music teacher.,"English, American Sign ",United States,Nominated for 1 Oscar. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,12 Jan 1996,89 min,"Comedy, Crime",Paris Barclay,"Shawn Wayans, Marlon Wayans, Phil Beauman","Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans","A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Two If by Sea,1996,R,12 Jan 1996,96 min,"Comedy, Crime, Romance",Bill Bennett,"Denis Leary, Mike Armstrong, Ann Leary","Sandra Bullock, Denis Leary, Stephen Dillane","A couple steals a Matisse painting on contract, and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Bio-Dome,1996,PG-13,12 Jan 1996,88 min,Comedy,Jason Bloom,"Adam Leff, Mitchell Peck, Jason Blumenthal","Pauly Shore, Stephen Baldwin, William Atherton","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",English,United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Lawnmower Man 2: Beyond Cyberspace,1995,PG-13,12 Jan 1996,93 min,"Action, Sci-Fi, Thriller",Farhad Mann,"Farhad Mann, Michael Miner","Patrick Bergin, Matt Frewer, Austin O'Brien","After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is re...",English,"United States, Japan, United Kingdom",1 nomination,https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
French Twist,1995,R,19 Jan 1996,104 min,"Comedy, Drama, Romance",Josiane Balasko,"Josiane Balasko, Telsche Boorman, Patrick Aubrée","Victoria Abril, Josiane Balasko, Alain Chabat","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","French, Spanish, English",France,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZGQ2YjMwZWYtMmVjZS00NTZkLTg2OGUtMTNlZjQwNWUyMDFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
Friday,1995,R,26 Apr 1995,91 min,"Comedy, Drama",F. Gary Gray,"Ice Cube, DJ Pooh","Ice Cube, Chris Tucker, Nia Long","It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
From Dusk Till Dawn,1996,R,19 Jan 1996,108 min,"Action, Crime, Horror",Robert Rodriguez,"Robert Kurtzman, Quentin Tarantino","Harvey Keitel, George Clooney, Juliette Lewis","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","English, Spanish","United States, Mexico",7 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Fair Game,1995,R,03 Nov 1995,91 min,"Action, Romance, Thriller",Andrew Sipes,"Paula Gosling, Charlie Fletcher","William Baldwin, Cindy Crawford, Steven Berkoff","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","English, Russian",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
Kicking and Screaming,1995,R,06 Oct 1995,96 min,"Comedy, Drama, Romance",Noah Baumbach,"Noah Baumbach, Bo Berkman","Josh Hamilton, Eric Stoltz, Samuel Gould","A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg
Les Misérables,1995,R,03 Nov 1995,175 min,"Drama, History",Claude Lelouch,"Victor Hugo, Claude Lelouch","Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines",A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,"French, German, English",France,Nominated for 1 BAFTA Award6 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZWE2ZDg2ODQtMDIwMi00NGE3LWEzZWMtNzBjZDExNGJmMGVhXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_SX300.jpg
Bed of Roses,1996,PG,26 Jan 1996,87 min,"Drama, Romance",Michael Goldenberg,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon",Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Big Bully,1996,PG,26 Jan 1996,90 min,"Comedy, Thriller",Steve Miner,Mark Steven Johnson,"Rick Moranis, Tom Arnold, Julianne Phillips","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BNDdhZTdiOTAtMWNiMC00NDRmLTllZWItYWMzOWZjNDY3ZmRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Screamers,1995,R,26 Jan 1996,108 min,"Horror, Sci-Fi, Thriller",Christian Duguay,"Philip K. Dick, Dan O'Bannon, Miguel Tejada-Flores","Peter Weller, Roy Dupuis, Jennifer Rubin","A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",English,"Canada, Japan",3 nominations,https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Nico Icon,1995,N/A,16 Nov 1995,67 min,"Documentary, Biography, Music",Susanne Ofteringer,Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...","English, German","Germany, United States",4 wins,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_SX300.jpg
The Crossing Guard,1995,R,16 Nov 1995,111 min,"Drama, Thriller",Sean Penn,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston",Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNjZmMTNlN2MtOTgzYS00MzEyLWIxYWQtNDBjMDVmMTYwNjI0XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
The Juror,1996,R,02 Feb 1996,118 min,"Crime, Drama, Thriller",Brian Gibson,"George Dawes Green, Ted Tally","Demi Moore, Alec Baldwin, Joseph Gordon-Levitt",A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,"English, Spanish",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYWZlNGEzNjUtZGRiZi00ZWMxLWJiMjAtN2E1OWI3MTM4MjdjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The White Balloon,1995,Unrated,27 Nov 1995,85 min,"Drama, Family",Jafar Panahi,"Abbas Kiarostami, Jafar Panahi, Parviz Shahbazi","Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy",Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Persian,Iran,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BN2QzOTY0MjAtMDQ4MC00MTQ3LWIxM2UtZjc5MzkxYjRhZjdjXkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_SX300.jpg
Things to Do in Denver When You're Dead,1995,R,01 Dec 1995,115 min,"Crime, Drama, Thriller",Gary Fleder,Scott Rosenberg,"Andy Garcia, Christopher Walken, Christopher Lloyd",Five different criminals face imminent death after botching a job quite badly.,English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
Antonia's Line,1995,R,02 Feb 1996,102 min,"Comedy, Drama",Marleen Gorris,Marleen Gorris,"Willeke van Ammelrooy, Jan Decleir, Veerle van Overloop","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Dutch,"Netherlands, Belgium, United Kingdom, France",Won 1 Oscar. 8 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_SX300.jpg
Once Upon a Time... When We Were Colored,1995,PG,26 Jan 1996,115 min,"Drama, Romance",Tim Reid,"Clifton L. Taulbert, Paul W. Cooper","Al Freeman Jr., Phylicia Rashad, Leon",A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,English,United States,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BY2VmOWI4MzMtZmExYy00ZjNhLTk1Y2YtN2Q2ODkwMWViNDNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Angels and Insects,1995,R,26 Jan 1996,116 min,"Drama, Romance",Philip Haas,"A.S. Byatt, Belinda Haas, Philip Haas","Mark Rylance, Kristin Scott Thomas, Patsy Kensit",In the 1800s a naturalist marries into a family of British country gentry.,English,"United Kingdom, United States",Nominated for 1 Oscar. 2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
White Squall,1996,PG-13,02 Feb 1996,129 min,"Adventure, Drama",Ridley Scott,"Charles Gieg Jr., Felix Sutton, Todd Robinson","Jeff Bridges, Caroline Goodall, John Savage",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"English, Danish, Spanish","United States, United Kingdom",1 nomination,https://m.media-amazon.com/images/M/MV5BMzE1ZGU3ZGMtZjM3NS00YTA1LWE4MzMtMDcxMWZhMTA2YWRmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Dunston Checks In,1996,PG,12 Jan 1996,88 min,"Adventure, Comedy, Family",Ken Kwapis,"John Hopkins, Bruce Graham","Jason Alexander, Faye Dunaway, Eric Lloyd",A young boy befriends a larcenous orangutan in a luxury hotel.,"English, French",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Black Sheep,1996,PG-13,02 Feb 1996,87 min,Comedy,Penelope Spheeris,Fred Wolf,"Chris Farley, David Spade, Tim Matheson",A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Nick of Time,1995,R,22 Nov 1995,90 min,"Action, Crime, Drama",John Badham,Patrick Sheane Duncan,"Johnny Depp, Christopher Walken, Courtney Chase","An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Mary Reilly,1996,R,23 Feb 1996,108 min,"Drama, Horror, Romance",Stephen Frears,"Valerie Martin, Christopher Hampton","Julia Roberts, John Malkovich, George Cole","A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",English,"United States, United Kingdom",6 nominations,https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Vampire in Brooklyn,1995,R,27 Oct 1995,100 min,"Comedy, Fantasy, Horror",Wes Craven,"Eddie Murphy, Vernon Lynch, Charlie Murphy","Eddie Murphy, Angela Bassett, Allen Payne","A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many ...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNWFlYjJiYzUtNWE1YS00YzM5LTkxYzMtN2FlMjI4NTNlNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Beautiful Girls,1996,R,09 Feb 1996,112 min,"Comedy, Drama, Romance",Ted Demme,Scott Rosenberg,"Matt Dillon, Timothy Hutton, Noah Emmerich",A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BOTQ4OTU0ODktY2E5YS00MGFhLTgwZTEtZWFkOGMxMmFmOTg0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Broken Arrow,1996,R,09 Feb 1996,108 min,"Action, Adventure, Thriller",John Woo,Graham Yost,"John Travolta, Christian Slater, Samantha Mathis",Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYzU2NDg3ZTItNzRmNy00NTQzLTljMDUtNjczOTMwZjEzNWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
A Midwinter's Tale,1995,R,16 Feb 1996,99 min,Comedy,Kenneth Branagh,Kenneth Branagh,"Michael Maloney, Richard Briers, Hetta Charnley","A group of theatre actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys.",English,United Kingdom,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4._V1_SX300.jpg
La haine,1995,Not Rated,23 Feb 1996,98 min,"Crime, Drama",Mathieu Kassovitz,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,French,France,8 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BOTQxOGU0OWUtMzExYy00ZjIxLWJmMzAtNTI1Y2YxYTMxN2RkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Heidi Fleiss: Hollywood Madam,1995,Not Rated,09 Feb 1996,106 min,"Documentary, Biography",Nick Broomfield,N/A,"Nick Broomfield, Nina Xining Zuo, Madam Alex","A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",English,"United Kingdom, Germany, United States, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg
City Hall,1996,R,16 Feb 1996,111 min,"Crime, Drama, Mystery",Harold Becker,"Ken Lipper, Paul Schrader, Nicholas Pileggi","Al Pacino, John Cusack, Bridget Fonda","The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZmMxMGEwNDAtZGVjYS00NWIyLWI4NGQtZGYzMjA0YzIzZGM4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Bottle Rocket,1996,R,21 Feb 1996,91 min,"Comedy, Crime, Drama",Wes Anderson,"Owen Wilson, Wes Anderson","Luke Wilson, Owen Wilson, Ned Dowd",Three friends plan to pull off a simple robbery and go on the run.,"English, Spanish",United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzFlYWQxMjMtYTdmOC00NDA0LWI5NWQtNjc5OTc1ZDdkOGExXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Mr. Wrong,1996,PG-13,16 Feb 1996,96 min,Comedy,Nick Castle,"Chris Matheson, Kerry Ehrin, Craig Munson","Ellen DeGeneres, Bill Pullman, Joan Cusack","A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BZTIwOThjZmQtMWExMC00NzIwLWI0YzAtMWIzNTNlODdjNjg5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
